TractFIPS,CityFIPS,MeasureId,Data_Value
09001070100,0908000,ACCESS2,0.111
09001070200,0908000,ACCESS2,0.213
09001070300,0908000,ACCESS2,0.499
09001070400,0908000,ACCESS2,0.149
09001070500,0908000,ACCESS2,0.364
09001070600,0908000,ACCESS2,0.254
09001070900,0908000,ACCESS2,0.361
09001071000,0908000,ACCESS2,0.309
09001071100,0908000,ACCESS2,0.285
09001071200,0908000,ACCESS2,0.308
09001071300,0908000,ACCESS2,0.321
09001071400,0908000,ACCESS2,0.318
09001071600,0908000,ACCESS2,0.51
09001071900,0908000,ACCESS2,0.318
09001072000,0908000,ACCESS2,0.235
09001072100,0908000,ACCESS2,0.158
09001072200,0908000,ACCESS2,0.18100000000000002
09001072300,0908000,ACCESS2,0.20800000000000002
09001072400,0908000,ACCESS2,0.18100000000000002
09001072500,0908000,ACCESS2,0.156
09001072600,0908000,ACCESS2,0.15
09001072700,0908000,ACCESS2,0.13
09001072800,0908000,ACCESS2,0.201
09001072900,0908000,ACCESS2,0.191
09001073000,0908000,ACCESS2,0.19899999999999998
09001073100,0908000,ACCESS2,0.217
09001073200,0908000,ACCESS2,0.182
09001073300,0908000,ACCESS2,0.21
09001073400,0908000,ACCESS2,0.233
09001073500,0908000,ACCESS2,0.33799999999999997
09001073600,0908000,ACCESS2,0.35700000000000004
09001073700,0908000,ACCESS2,0.297
09001073800,0908000,ACCESS2,0.35
09001073900,0908000,ACCESS2,0.35700000000000004
09001074000,0908000,ACCESS2,0.375
09001074300,0908000,ACCESS2,0.305
09001074400,0908000,ACCESS2,0.293
09001257200,0908000,ACCESS2,0.247
09001070100,0908000,ARTHRITIS,0.193
09001070200,0908000,ARTHRITIS,0.201
09001070300,0908000,ARTHRITIS,0.203
09001070400,0908000,ARTHRITIS,0.129
09001070500,0908000,ARTHRITIS,0.174
09001070600,0908000,ARTHRITIS,0.233
09001070900,0908000,ARTHRITIS,0.231
09001071000,0908000,ARTHRITIS,0.188
09001071100,0908000,ARTHRITIS,0.205
09001071200,0908000,ARTHRITIS,0.223
